# This file contains word-score pairings from the MRC Psycholinguistic Database.
# Words are scored on four attributes: Age of Aquisition, Concreteness, Familiarity, and Imagability

# Only words that have a Kucera-Francis written frequency of at least 38 are included, since
# the Database can only show a maximum of 5000 results per search

WORD                     AOA CNC FAM IMG
FED                        -   -   -   - 
FEDERAL                    -   -   -   - 
FEED                       -   -   -   - 
FEEL                       - 324 588 363 
FEELING                  339 262 612 370 
FEET                       - 642 611 597 
FELL                       - 407 546 431 
FELLOW                   378 502 475 435 
FELT                       - 437 504 483 
FEMALE                     -   -   -   - 
FEW                        - 309 593 333 
FICTION                    -   -   -   - 
FIELD                      -   -   -   - 
FIFTEEN                  289 379 539 491 
FIFTH                      -   -   -   - 
FIFTY                      -   -   -   - 
FIG                        -   -   -   - 
FIGHT                    261 455 561 543 
FIGHTING                   -   -   -   - 
FIGURE                     - 472 534 526 
FILE                       - 480 504 442 
FILL                       - 372 521 415 
FILM                       - 604 578 562 
FINAL                      -   - 574 407 
FINALLY                    -   -   -   - 
FINANCIAL                  -   -   -   - 
FIND                     272 351 580 370 
FINDING                    -   -   -   - 
FINE                       - 328 560 392 
FINGER                     -   -   -   - 
FINISH                   300 343 617 437 
FINISHED                   -   - 600 361 
FIRE                       - 595 580 634 
FIRM                       - 400 567 404 
FIRMLY                     -   -   -   - 
FIRST                      - 311 590 388 
FISCAL                     -   -   -   - 
FIT                        -   -   -   - 
FIVE                       - 365 553 529 
FIXED                      -   - 573 341 
FLAT                       -   -   -   - 
FLESH                    411 597 483 567 
FLIGHT                     -   -   -   - 
FLOOR                      - 559 551 544 
FLOW                       - 311 518 417 
FLYING                     -   -   -   - 
FOCUS                      -   -   -   - 
FOLLOW                     -   -   -   - 
FOLLOWING                394 306 551 349 
FOOD                       - 597 579 539 
FOOT                       - 558 583 597 
FOR                        - 245 603 216 
FORCE                    372 331 552 437 
FORCED                     -   -   -   - 
FOREIGN                    -   - 539 404 
FOREST                   297 609 513 633 
FOREVER                    -   -   -   - 
FORGET                     -   -   -   - 
FORGOTTEN                  -   -   -   - 
FORM                     383 438 553 452 
FORMAL                     -   -   -   - 
FORMED                     -   -   -   - 
FORMER                     -   - 523 283 
FORMULA                    -   -   -   - 
FORT                     328 580 418 559 
FORTH                      - 322 474 336 
FORWARD                    -   - 596 329 
FOUGHT                     -   -   -   - 
FOUND                      -   -   -   - 
FOUNDATION               478 462 475 429 
FOUR                       - 365 553 491 
FOURTH                     - 307 549 384 
FRAME                    394 562 494 508 
FRANK                      - 401 500 419 
FREE                       - 328 607 397 
FREEDOM                  425 277 568 437 
FRENCH                     -   -   -   - 
FREQUENTLY                 -   -   -   - 
FRESH                      -   - 576 453 
FRIDAY                     -   -   -   - 
FRIEND                     - 450 603 587 
FRIENDLY                   -   - 604 439 
FROM                       - 197 612 239 
FRONT                      - 424 570 427 
FULL                       - 378 594 437 
FULLY                      -   -   -   - 
FUN                        - 295 621 515 
FUNCTION                 511 343 518 294 
FUND                       -   -   -   - 
FUNDAMENTAL                -   -   -   - 
FUNNY                      -   - 617 468 
FURNITURE                  - 583 580 588 
FURTHER                    -   - 578 300 
FURTHERMORE                -   -   -   - 
FUTURE                   414 311 612 413 
G                          -   -   -   - 
GAIN                     389 346 543 307 
GAINED                     -   -   -   - 
GAME                     242 477 574 521 
GARDEN                   186 602 567 635 
GAS                      339 554 558 532 
GAVE                       -   -   -   - 
GENERAL                    - 408 568 491 
GENERALLY                  -   -   -   - 
GENERATION               489 320 520 362 
GEORGE                     -   -   -   - 
GERMAN                     -   -   -   - 
GET                        - 290 604 264 
GETTING                    -   -   -   - 
GIRL                     183 607 645 634 
GIVE                       - 326 595 383 
GIVEN                      -   -   -   - 
GIVING                     -   -   -   - 
GLAD                       - 318 564 445 
